2026-06-10 21:43:35 | INFO     | backlink_automation | Step 2: Filling Article Details
2026-06-10 21:43:36 | INFO     | backlink_automation | Solving captcha on submit page... (Attempt 1/3)
2026-06-10 21:43:36 | INFO     | backlink_automation | Attempting to solve SolveMedia captcha with 2captcha...
2026-06-10 21:43:36 | INFO     | backlink_automation | Sending image to 2captcha service...
2026-06-10 21:44:03 | INFO     | backlink_automation | 2captcha predicted: 'go further'
2026-06-10 21:44:12 | INFO     | backlink_automation | Bookmark form submitted. Waiting for result...
2026-06-10 21:44:17 | INFO     | backlink_automation | Bookmark submitted. Extracted backlink: https://livebookmarking.com/story21608520/yellow-corn-bulk-export-find-reliable-suppliers
2026-06-10 21:44:17 | INFO     | backlink_automation | Successfully created backlink: https://livebookmarking.com/story21608520/yellow-corn-bulk-export-find-reliable-suppliers
2026-06-10 21:44:19 | INFO     | backlink_automation | Found 1 pending workflow runs. Starting concurrent sessions...
2026-06-10 21:44:20 | INFO     | backlink_automation | [TaskRun 199af5f0-d00a-4605-8ea4-86d8fa2a9431] Executing step 2/2: Verification & Reporting on https://livebookmarking.com
2026-06-10 21:44:21 | INFO     | backlink_automation | [TaskRun 199af5f0-d00a-4605-8ea4-86d8fa2a9431] Intercepted Reporting Step.
2026-06-10 21:50:00 | INFO     | backlink_automation | CaptchaService initialized with provider=stub
2026-06-10 21:50:00 | INFO     | backlink_automation | Starting Playwright Worker Orchestrator... Max Concurrent Sessions: 5
2026-06-10 21:50:39 | INFO     | backlink_automation | Found 1 pending workflow runs. Starting concurrent sessions...
2026-06-10 21:50:40 | INFO     | backlink_automation | [TaskRun 0205421e-7bd1-4ae8-b0d4-234f23698241] Executing step 1/2: Submission on https://livebookmarking.com
2026-06-10 21:50:41 | INFO     | backlink_automation | [TaskRun 0205421e-7bd1-4ae8-b0d4-234f23698241] Routing to template: pligg
2026-06-10 21:50:41 | INFO     | backlink_automation | Starting LiveBookmarkingTemplate for client_site=https://facebook.com, keyword=Taigun price in kerala
2026-06-10 21:50:41 | INFO     | backlink_automation | Navigating to home page
2026-06-10 21:50:48 | INFO     | backlink_automation | Not logged in. Starting registration flow.
2026-06-10 21:50:48 | INFO     | backlink_automation | Registration started with username=backlink791z731i
2026-06-10 21:51:07 | INFO     | backlink_automation | Registration attempt 1/3
2026-06-10 21:51:09 | INFO     | backlink_automation | Attempting to solve SolveMedia captcha with 2captcha...
2026-06-10 21:51:10 | INFO     | backlink_automation | Sending image to 2captcha service...
2026-06-10 21:51:38 | INFO     | backlink_automation | 2captcha predicted: 'untiltonight'
2026-06-10 21:51:44 | WARNING  | backlink_automation | Invalid captcha detected. Retrying...
2026-06-10 21:51:44 | INFO     | backlink_automation | Registration attempt 2/3
2026-06-10 21:51:44 | INFO     | backlink_automation | Attempting to solve SolveMedia captcha with 2captcha...
2026-06-10 21:51:45 | INFO     | backlink_automation | Sending image to 2captcha service...
2026-06-10 21:52:16 | INFO     | backlink_automation | 2captcha predicted: 'back to basics'
2026-06-10 21:52:23 | INFO     | backlink_automation | Registration successful, redirected to user page.
2026-06-10 21:52:23 | INFO     | backlink_automation | Registration flow finished
2026-06-10 21:52:23 | INFO     | backlink_automation | Bookmark submission started: url=https://facebook.com, keyword=Taigun price in kerala
2026-06-10 21:52:25 | INFO     | backlink_automation | Step 1: Submitting URL
2026-06-10 21:52:29 | INFO     | backlink_automation | Step 2: Filling Article Details
2026-06-10 21:52:29 | INFO     | backlink_automation | Solving captcha on submit page... (Attempt 1/3)
2026-06-10 21:52:29 | INFO     | backlink_automation | Attempting to solve SolveMedia captcha with 2captcha...
2026-06-10 21:52:29 | INFO     | backlink_automation | Sending image to 2captcha service...
2026-06-10 21:52:52 | INFO     | backlink_automation | 2captcha predicted: 'wheel group'
2026-06-10 21:52:54 | INFO     | backlink_automation | Bookmark form submitted. Waiting for result...
2026-06-10 21:53:04 | INFO     | backlink_automation | Bookmark submitted. Extracted backlink: https://livebookmarking.com/story21608558/أبرز-شركات-استثمار-الأسهم-بالسعودية-المملكة-العربية-السعودية-دليل-بـ-الاستثمار
2026-06-10 21:53:04 | INFO     | backlink_automation | Successfully created backlink: https://livebookmarking.com/story21608558/أبرز-شركات-استثمار-الأسهم-بالسعودية-المملكة-العربية-السعودية-دليل-بـ-الاستثمار
2026-06-10 21:53:06 | INFO     | backlink_automation | Found 1 pending workflow runs. Starting concurrent sessions...
2026-06-10 21:53:07 | INFO     | backlink_automation | [TaskRun 0205421e-7bd1-4ae8-b0d4-234f23698241] Executing step 2/2: Verification & Reporting on https://livebookmarking.com
2026-06-10 21:53:09 | INFO     | backlink_automation | [TaskRun 0205421e-7bd1-4ae8-b0d4-234f23698241] Intercepted Reporting Step.
2026-06-10 21:58:40 | INFO     | backlink_automation | CaptchaService initialized with provider=stub
2026-06-10 21:58:40 | INFO     | backlink_automation | Starting Playwright Worker Orchestrator... Max Concurrent Sessions: 5
2026-06-10 21:59:36 | INFO     | backlink_automation | Found 1 pending workflow runs. Starting concurrent sessions...
2026-06-10 21:59:37 | INFO     | backlink_automation | [TaskRun 0d5e61bb-7ae1-47c4-86be-e8eb0d881cd3] Executing step 1/2: Submission on https://livebookmarking.com
2026-06-10 21:59:38 | INFO     | backlink_automation | [TaskRun 0d5e61bb-7ae1-47c4-86be-e8eb0d881cd3] Routing to template: pligg
2026-06-10 21:59:38 | INFO     | backlink_automation | Starting LiveBookmarkingTemplate for client_site=https://facebook.com, keyword=Taigun price in kerala
2026-06-10 21:59:38 | INFO     | backlink_automation | Navigating to home page
2026-06-10 21:59:42 | INFO     | backlink_automation | Not logged in. Starting registration flow.
2026-06-10 21:59:42 | INFO     | backlink_automation | Registration started with username=backlink4gk148f2
2026-06-10 21:59:56 | INFO     | backlink_automation | Registration attempt 1/3
2026-06-10 21:59:56 | INFO     | backlink_automation | Attempting to solve SolveMedia captcha with 2captcha...
2026-06-10 21:59:56 | INFO     | backlink_automation | Sending image to 2captcha service...
2026-06-10 22:00:23 | INFO     | backlink_automation | 2captcha predicted: 'vorpalsword'
2026-06-10 22:00:29 | WARNING  | backlink_automation | Invalid captcha detected. Retrying...
2026-06-10 22:00:29 | INFO     | backlink_automation | Registration attempt 2/3
2026-06-10 22:00:29 | INFO     | backlink_automation | Attempting to solve SolveMedia captcha with 2captcha...
2026-06-10 22:00:30 | INFO     | backlink_automation | Sending image to 2captcha service...
2026-06-10 22:00:46 | INFO     | backlink_automation | 2captcha predicted: 'APPLE PIE'
2026-06-10 22:00:51 | INFO     | backlink_automation | Registration successful, redirected to user page.
2026-06-10 22:00:51 | INFO     | backlink_automation | Registration flow finished
2026-06-10 22:00:51 | INFO     | backlink_automation | Bookmark submission started: url=https://facebook.com, keyword=Taigun price in kerala
2026-06-10 22:00:53 | INFO     | backlink_automation | Step 1: Submitting URL
2026-06-10 22:00:57 | INFO     | backlink_automation | Step 2: Filling Article Details
2026-06-10 22:00:57 | INFO     | backlink_automation | Solving captcha on submit page... (Attempt 1/3)
2026-06-10 22:00:57 | INFO     | backlink_automation | Attempting to solve SolveMedia captcha with 2captcha...
2026-06-10 22:00:57 | INFO     | backlink_automation | Sending image to 2captcha service...
2026-06-10 22:01:14 | INFO     | backlink_automation | 2captcha predicted: 'beeline'
2026-06-10 22:01:19 | INFO     | backlink_automation | Bookmark form submitted. Waiting for result...
2026-06-10 22:01:31 | WARNING  | backlink_automation | Invalid captcha detected on submit. Retrying...
2026-06-10 22:01:32 | INFO     | backlink_automation | Solving captcha on submit page... (Attempt 2/3)
2026-06-10 22:01:32 | INFO     | backlink_automation | Attempting to solve SolveMedia captcha with 2captcha...
2026-06-10 22:01:32 | INFO     | backlink_automation | Sending image to 2captcha service...
2026-06-10 22:01:52 | INFO     | backlink_automation | 2captcha predicted: 'sharp stick'
2026-06-10 22:01:54 | INFO     | backlink_automation | Bookmark form submitted. Waiting for result...
2026-06-10 22:02:00 | INFO     | backlink_automation | Bookmark submitted. Extracted backlink: https://livebookmarking.com/story21608583/taigun-price-in-kerala
2026-06-10 22:02:00 | INFO     | backlink_automation | Successfully created backlink: https://livebookmarking.com/story21608583/taigun-price-in-kerala
2026-06-10 22:02:01 | INFO     | backlink_automation | Found 1 pending workflow runs. Starting concurrent sessions...
2026-06-10 22:02:02 | INFO     | backlink_automation | [TaskRun 0d5e61bb-7ae1-47c4-86be-e8eb0d881cd3] Executing step 2/2: Verification & Reporting on https://livebookmarking.com
2026-06-10 22:02:03 | INFO     | backlink_automation | [TaskRun 0d5e61bb-7ae1-47c4-86be-e8eb0d881cd3] Intercepted Reporting Step.
2026-06-10 22:06:01 | INFO     | backlink_automation | CaptchaService initialized with provider=stub
2026-06-10 22:06:01 | INFO     | backlink_automation | Starting Playwright Worker Orchestrator... Max Concurrent Sessions: 5
2026-06-10 22:08:41 | INFO     | backlink_automation | Found 4 pending workflow runs. Starting concurrent sessions...
2026-06-10 22:08:46 | INFO     | backlink_automation | [TaskRun b3d985f0-6414-48f1-b358-4225ac5a64f5] Executing step 1/2: Submission on https://livebookmarking.com
2026-06-10 22:08:47 | INFO     | backlink_automation | [TaskRun b3d985f0-6414-48f1-b358-4225ac5a64f5] Routing to template: pligg
2026-06-10 22:08:47 | INFO     | backlink_automation | Starting PliggGenericTemplate on https://livebookmarking.com for client_site=https://leadflowprime.com, keyword=Taigun price in kerala
2026-06-10 22:08:47 | INFO     | backlink_automation | Navigating to home page
2026-06-10 22:08:47 | INFO     | backlink_automation | [TaskRun 9f4aa585-81ba-49cf-bc73-a78f302f0483] Executing step 1/2: Submission on https://social-medialink.com
2026-06-10 22:08:48 | INFO     | backlink_automation | [TaskRun 9f4aa585-81ba-49cf-bc73-a78f302f0483] Routing to template: pligg
2026-06-10 22:08:48 | INFO     | backlink_automation | Starting PliggGenericTemplate on https://social-medialink.com for client_site=https://leadflowprime.com, keyword=Taigun price in kerala
2026-06-10 22:08:48 | INFO     | backlink_automation | Navigating to home page
